qid,docid,docno,rank,score,query,run_id
MB03,250,2045453773682671952,9,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,253,2045452671298007229,10,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,275,2045449695489892499,11,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,292,2045447076343951468,12,4.991291749112371,closing hormuz strait,BM25_lexemes
MB03,212,2045460030061772928,13,4.872125218617751,closing hormuz strait,BM25_lexemes
MB03,220,2045459033885491314,14,4.853293009420394,closing hormuz strait,BM25_lexemes
MB03,244,2045454999518339562,15,4.853293009420394,closing hormuz strait,BM25_lexemes
MB03,294,2045446979543585187,16,4.853293009420394,closing hormuz strait,BM25_lexemes
MB03,200,2045461866365718542,17,4.722719722507176,closing hormuz strait,BM25_lexemes
MB03,270,2045450185514344567,18,4.722719722507176,closing hormuz strait,BM25_lexemes
MB03,205,2045461058244976964,19,4.65043140312742,closing hormuz strait,BM25_lexemes
MB03,203,2045461578875912680,20,4.598988265708006,closing hormuz strait,BM25_lexemes
MB03,239,2045455725711986694,21,4.598988265708006,closing hormuz strait,BM25_lexemes
MB03,201,2045461708303724675,22,4.504122542989398,closing hormuz strait,BM25_lexemes
MB03,226,2045457568517218638,23,4.4815746166552595,closing hormuz strait,BM25_lexemes
MB03,268,2045450251713049084,24,4.4815746166552595,closing hormuz strait,BM25_lexemes
MB03,283,2045448604580515929,25,4.4815746166552595,closing hormuz strait,BM25_lexemes
MB03,288,2045447819608326344,26,4.4815746166552595,closing hormuz strait,BM25_lexemes
MB03,213,2045459959824228366,27,4.47683459255794,closing hormuz strait,BM25_lexemes
MB03,242,2045455214837117361,28,4.47683459255794,closing hormuz strait,BM25_lexemes
MB03,284,2045448439035793778,29,4.47683459255794,closing hormuz strait,BM25_lexemes
MB04,304,2044685310668226788,0,8.643012231097423,intercepting missiles drones,BM25_lexemes
MB04,338,2042715314702426508,1,8.390064116556424,intercepting missiles drones,BM25_lexemes
MB04,316,2043887981031776405,2,8.350109171830372,intercepting missiles drones,BM25_lexemes
MB04,370,2042119334873723208,3,8.15150067689344,intercepting missiles drones,BM25_lexemes
MB04,362,2042254651806888064,4,8.02939677570898,intercepting missiles drones,BM25_lexemes
MB04,300,2045394836304650479,5,7.712883748308526,intercepting missiles drones,BM25_lexemes
MB04,324,2043347478355788094,6,7.712883748308526,intercepting missiles drones,BM25_lexemes
